Country,Global_Peace_Index,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,GDP/Capita,Latitude,Longitude
poland,1.713,0.906,78.6,16.7,13.2,42218,5,25103.565661423,51.919438,19.145136
estonia,1.559,0.905,79.2,16,13.6,40881,8,31428.3547816104,58.595272,25.013607
saudi arabia,2.035,0.9,78.7,16.9,11.6,50299,-7,35121.6628687742,23.885942,45.079162
bahrain,2.099,0.899,81.3,15.9,11.1,52819,-11,29653.5682731534,25.930414,50.637772
lithuania,1.558,0.895,76,16.5,13.6,41916,2,29384.0189598663,55.169438,23.881275
portugal,1.371,0.89,82.4,17.5,9.7,41064,3,29292.242104753,39.399872,-8.224454
croatia,1.519,0.889,78.6,16.3,12.1,41380,1,24050.4397933135,45.1,15.2
latvia,1.558,0.889,76.2,16.5,13.4,37998,6,23409.0845154775,56.879635,24.603189
qatar,1.593,0.886,82.4,13.1,10.8,105353,-39,76688.6941743178,25.354826,51.183884
slovakia,1.609,0.88,78.3,14.9,13.1,36793,5,,48.669026,19.699024
chile,1.899,0.878,81.2,16.9,11.3,28047,16,16709.8893972307,-35.675147,-71.542969
hungary,1.5,0.87,77,15.5,12.3,37236,2,23292.3263882478,47.162494,19.503304
argentina,1.768,0.865,77.4,18.8,11.2,25876,20,13969.7836603737,-38.416097,-63.616672
montenegro,1.685,0.862,77.1,15.5,12.8,28026,14,13263.3281277699,42.708678,19.37439
uruguay,1.784,0.862,78.1,17.5,10.5,28650,12,23906.5133029408,-32.522779,-55.765835
oman,1.738,0.858,80,13.4,11.9,36096,0,20285.2272897377,21.512583,55.923255
türkiye,2.852,0.853,77.2,19.8,9,34507,1,,,
kuwait,1.642,0.852,80.4,15.9,7.6,56612,-29,32717.7186631255,29.31166,47.481766
antigua and barbuda,,0.851,77.6,15.5,11.6,27387,10,23542.4526945578,17.060816,-61.796428
seychelles,,0.848,72.9,18.2,11.2,29195,4,17858.8226383978,-4.679574,55.491977
bulgaria,1.61,0.845,75.6,15.3,11.5,32175,0,17596.0173663521,42.733883,25.48583
romania,1.721,0.845,75.9,14.1,11.6,39374,-10,20080.2096215595,45.943161,24.96676
georgia,2.185,0.844,74.5,16.8,12.7,20753,18,9241.49122313713,42.315407,43.356892
saint kitts and nevis,,0.84,72.1,18.4,10.8,29105,1,,17.357822,-62.782998
panama,2.006,0.839,79.6,13.3,10.8,34385,-6,19161.2188501596,8.537981,-80.782127
brunei darussalam,,0.837,75.3,13.7,9.3,75827,-51,33153.4738913513,,
kazakhstan,1.875,0.837,74.4,14,12.5,30989,-4,14154.6324958076,48.019573,66.923684
costa rica,1.843,0.833,80.8,16.3,8.8,23417,6,18587.1532203482,9.748917,-83.753428
serbia,1.914,0.833,76.8,15,11.6,23115,7,13679.2065983557,44.016521,21.005859
russian federation,3.441,0.832,73.2,13.2,12.4,39222,-18,14889.0185546875,,
